facility_id,measure_id,measure_name,start_date,end_date,score_numeric,score_raw,score_available,sample_size,footnote
010046,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,65.0,65,true,11,
010046,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010046,OP_22,Left before being seen,2024-01-01,2024-12-31,,2,true,27912,
010046,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010049,EDV,Emergency department volume,2024-01-01,2024-12-31,,medium,true,,
010049,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,143.0,143,true,421,
010049,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,138.0,138,true,398,
010049,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,256.0,256,true,12,
010049,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,254.0,254,true,15,
010049,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,32588,
010049,OP_23,Head CT results,2024-07-01,2025-06-30,,73,true,15,
010051,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010051,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,146.0,146,true,220,
010051,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,138.0,138,true,174,
010051,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,145.0,145,true,22,
010051,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,152.0,152,true,40,
010051,OP_22,Left before being seen,2024-01-01,2024-12-31,,1,true,4065,
010051,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,"3, 7"
010052,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010052,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,116.0,116,true,380,
010052,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,111.0,111,true,360,
010052,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010052,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,212.0,212,true,14,
010052,OP_22,Left before being seen,2024-01-01,2024-12-31,,0,true,6126,
010052,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010055,EDV,Emergency department volume,2024-01-01,2024-12-31,,high,true,,
010055,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,228.0,228,true,411,
010055,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,224.0,224,true,401,
010055,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010055,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010055,OP_22,Left before being seen,2024-01-01,2024-12-31,,5,true,40287,
010055,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010056,EDV,Emergency department volume,2024-01-01,2024-12-31,,Not Available,false,,5
010056,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,247.0,247,true,279,"3, 29"
010056,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,245.0,245,true,250,"3, 29"
010056,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,"1, 3, 29"
010056,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,361.0,361,true,24,"3, 29"
010056,OP_22,Left before being seen,2024-01-01,2024-12-31,,Not Available,false,Not Available,5
010056,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,"1, 3, 29"
010058,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010058,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,133.0,133,true,603,
010058,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",2024-07-01,2025-06-30,126.0,126,true,557,
010058,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010058,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,2024-07-01,2025-06-30,268.0,268,true,38,
010058,OP_22,Left before being seen,2024-01-01,2024-12-31,,3,true,14793,
010058,OP_23,Head CT results,2024-07-01,2025-06-30,,Not Available,false,Not Available,1
010061,EDV,Emergency department volume,2024-01-01,2024-12-31,,low,true,,
010061,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",2024-07-01,2025-06-30,176.0,176,true,787,
